ACCLASS,VISIBILITY,LIGHT,INJURY,INVTYPE,INITDIR,DIVISION,COLLISION_DATE,COLLISION_YEAR,COLLISION_TIME,HOUR,WEATHER,NEIGHBOURHOOD
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D55,2010-05-13,2010,2010-05-13T21:00:00Z,21,Adverse,Old East York
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D22,2010-05-14,2010,2010-05-14T13:12:00Z,13,Clear,Mimico-Queensway
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D53,2010-05-18,2010,2010-05-18T13:18:00Z,13,Clear,Annex
Non-Fatal Injury,Clear,Other,Major,Pedestrian,North,D22,2010-05-18,2010,2010-05-18T21:10:00Z,21,Clear,New Toronto
Non-Fatal Injury,Clear,Other,Major,Pedestrian,North,D22,2010-05-18,2010,2010-05-18T21:10:00Z,21,Clear,New Toronto
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D31,2010-05-19,2010,2010-05-19T15:30:00Z,15,Clear,Downsview
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D32,2010-05-23,2010,2010-05-24T00:00:00Z,0,Clear,Lawrence Park North
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D11,2010-05-25,2010,2010-05-25T10:50:00Z,10,Clear,Roncesvalles
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,North,D43,2010-05-27,2010,2010-05-27T15:38:00Z,15,Clear,West Rouge
Non-Fatal Injury,Clear,Daylight,Minor,Pedestrian,East,D13,2010-05-30,2010,2010-05-30T14:10:00Z,14,Clear,Caledonia-Fairbank
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D53,2010-06-01,2010,2010-06-01T17:50:00Z,17,Clear,Lawrence Park South
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,East,D31,2010-06-02,2010,2010-06-02T20:39:00Z,20,Adverse,York University Heights
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,West,D52,2010-06-02,2010,2010-06-02T21:45:00Z,21,Adverse,Yonge-Bay Corridor
Fatal,Rain,Dark,Fatal,Pedestrian,West,D13,2010-06-03,2010,2010-06-03T12:00:00Z,12,Adverse,Corso Italia-Davenport
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D55,2010-06-03,2010,2010-06-03T13:02:00Z,13,Clear,Danforth
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D42,2010-06-10,2010,2010-06-10T15:48:00Z,15,Clear,Malvern East
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D12,2010-06-11,2010,2010-06-11T15:05:00Z,15,Clear,Rockcliffe-Smythe
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D14,2010-06-15,2010,2010-06-15T18:46:00Z,18,Clear,Dovercourt Village
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D13,2010-06-16,2010,2010-06-16T17:22:00Z,17,Clear,Forest Hill North
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D23,2010-06-18,2010,2010-06-18T17:00:00Z,17,Clear,Mount Olive-Silverstone-Jamestown
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D52,2010-06-19,2010,2010-06-19T16:00:00Z,16,Clear,Bay-Cloverhill
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,West,D52,2010-06-19,2010,2010-06-19T18:00:00Z,18,Clear,Wellington Place
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D13,2010-06-22,2010,2010-06-22T17:48:00Z,17,Clear,Corso Italia-Davenport
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D32,2010-06-25,2010,2010-06-25T17:30:00Z,17,Clear,Newtonbrook East
Non-Fatal Injury,Other,Daylight,Major,Pedestrian,North,D43,2010-06-26,2010,2010-06-26T11:10:00Z,11,Adverse,West Hill
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,South,D14,2010-06-26,2010,2010-06-26T12:54:00Z,12,Adverse,Palmerston-Little Italy
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,East,D55,2010-06-26,2010,2010-06-26T14:15:00Z,14,Adverse,Old East York
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D53,2010-06-26,2010,2010-06-26T22:01:00Z,22,Adverse,Thorncliffe Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D55,2010-06-30,2010,2010-06-30T14:30:00Z,14,Clear,South Riverdale
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D55,2010-07-05,2010,2010-07-05T10:19:00Z,10,Clear,Woodbine-Lumsden
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D41,2010-07-06,2010,2010-07-06T11:30:00Z,11,Clear,Dorset Park
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D51,2010-07-06,2010,2010-07-06T14:20:00Z,14,Clear,Downtown Yonge East
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D53,2010-07-06,2010,2010-07-06T15:30:00Z,15,Clear,Mount Pleasant East
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D55,2010-07-07,2010,2010-07-07T17:23:00Z,17,Clear,Greenwood-Coxwell
Non-Fatal Injury,Clear,Dark,Major,Cyclist,North,D12,2010-07-07,2010,2010-07-07T23:59:00Z,23,Clear,Keelesdale-Eglinton West
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D14,2010-07-08,2010,2010-07-08T14:29:00Z,14,Clear,Dovercourt Village
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D41,2010-07-08,2010,2010-07-08T17:25:00Z,17,Clear,Kennedy Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,None,D13,2010-07-10,2010,2010-07-10T19:10:00Z,19,Clear,Caledonia-Fairbank
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D42,2010-07-11,2010,2010-07-11T19:36:00Z,19,Clear,West Rouge
Non-Fatal Injury,Clear,Dusk,Major,Cyclist,South,D13,2010-07-15,2010,2010-07-15T20:18:00Z,20,Clear,Junction-Wallace Emerson
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D52,2010-07-16,2010,2010-07-16T10:11:00Z,10,Clear,Kensington-Chinatown
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,Unknown,D14,2010-07-17,2010,2010-07-18T00:00:00Z,0,Clear,Palmerston-Little Italy
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,Unknown,D14,2010-07-17,2010,2010-07-18T00:00:00Z,0,Clear,Palmerston-Little Italy
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D33,2010-07-19,2010,2010-07-19T21:09:00Z,21,Adverse,Parkwoods-O'Connor Hills
Non-Fatal Injury,Clear,Dark,Major,Cyclist,North,D14,2010-07-20,2010,2010-07-20T21:41:00Z,21,Clear,Fort York-Liberty Village
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D52,2010-07-22,2010,2010-07-22T12:34:00Z,12,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D14,2010-07-24,2010,2010-07-24T20:00:00Z,20,Clear,Kensington-Chinatown
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,North,D12,2010-07-24,2010,2010-07-24T13:29:00Z,13,Adverse,Mount Dennis
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D23,2010-07-25,2010,2010-07-25T13:40:00Z,13,Clear,Kingsview Village-The Westway
Non-Fatal Injury,Clear,Daylight,None,Cyclist,North,D51,2010-07-26,2010,2010-07-26T19:47:00Z,19,Clear,Downtown Yonge East
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D33,2010-08-06,2010,2010-08-06T12:30:00Z,12,Clear,St.Andrew-Windfields
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D52,2010-08-06,2010,2010-08-06T19:31:00Z,19,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D51,2010-08-07,2010,2010-08-07T18:20:00Z,18,Clear,Cabbagetown-South St.James Town
Non-Fatal Injury,Clear,Daylight,None,Cyclist,East,D51,2010-08-07,2010,2010-08-07T18:20:00Z,18,Clear,Cabbagetown-South St.James Town
Non-Fatal Injury,Clear,Dusk,Major,Cyclist,West,D55,2010-08-07,2010,2010-08-07T20:00:00Z,20,Clear,Woodbine Corridor
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D52,2010-08-15,2010,2010-08-15T18:10:00Z,18,Clear,University
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D14,2010-08-16,2010,2010-08-16T10:15:00Z,10,Unknown,Kensington-Chinatown
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D42,2010-08-17,2010,2010-08-17T14:00:00Z,14,Clear,Malvern East
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D42,2010-08-18,2010,2010-08-18T17:52:00Z,17,Clear,Agincourt North
Non-Fatal Injury,Clear,Daylight,Minor,Pedestrian,West,D42,2010-08-18,2010,2010-08-18T17:52:00Z,17,Clear,Agincourt North
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D14,2010-08-19,2010,2010-08-19T17:15:00Z,17,Clear,Palmerston-Little Italy
Fatal,Clear,Dark,Fatal,Pedestrian,North,D55,2010-08-20,2010,2010-08-20T22:15:00Z,22,Clear,South Riverdale
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,South,D12,2010-08-21,2010,2010-08-21T13:43:00Z,13,Adverse,Keelesdale-Eglinton West
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D22,2010-08-27,2010,2010-08-27T12:08:00Z,12,Clear,Islington
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D53,2010-08-27,2010,2010-08-27T11:03:00Z,11,Clear,South Eglinton-Davisville
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,West,D23,2010-08-28,2010,2010-08-28T20:30:00Z,20,Clear,West Humber-Clairville
Non-Fatal Injury,Clear,Daylight,Minor,Pedestrian,South,D31,2010-09-01,2010,2010-09-01T18:10:00Z,18,Clear,Humbermede
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D31,2010-09-01,2010,2010-09-01T18:10:00Z,18,Clear,Humbermede
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,North,D14,2010-09-02,2010,2010-09-02T16:40:00Z,16,Clear,Little Portugal
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D52,2010-09-09,2010,2010-09-09T11:20:00Z,11,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Dark,Major,Cyclist,South,D55,2010-09-09,2010,2010-09-09T21:58:00Z,21,Clear,O'Connor-Parkview
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,East,D52,2010-09-12,2010,2020-10-09T12:14:00Z,12,Adverse,Kensington-Chinatown
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,Unknown,D31,2010-09-14,2010,2020-10-09T14:35:00Z,14,Clear,Humber Summit
Fatal,Clear,Daylight,Fatal,Pedestrian,West,D14,2010-09-14,2010,2010-09-14T10:55:00Z,10,Clear,Kensington-Chinatown
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D52,2010-09-15,2010,2010-09-15T19:52:00Z,19,Clear,Wellington Place
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D33,2010-09-20,2010,2010-09-20T10:08:00Z,10,Clear,Bayview Village
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D13,2010-09-25,2010,2010-09-25T17:04:00Z,17,Clear,Briar Hill-Belgravia
Fatal,Clear,Dark,Fatal,Cyclist,South,D11,2010-09-26,2010,2010-09-26T23:09:00Z,23,Clear,South Parkdale
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D42,2010-09-27,2010,2010-09-27T21:58:00Z,21,Adverse,Agincourt North
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,North,D55,2010-09-28,2010,2010-09-28T10:35:00Z,10,Adverse,East End-Danforth
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D53,2010-09-28,2010,2010-09-28T15:26:00Z,15,Clear,Yonge-St.Clair
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D42,2010-10-01,2010,2010-10-01T22:30:00Z,22,Clear,East L'Amoreaux
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D41,2010-10-02,2010,2010-10-02T20:17:00Z,20,Clear,Clairlea-Birchmount
Non-Fatal Injury,Clear,Dark,Major,Cyclist,South,D41,2010-10-02,2010,2010-10-02T22:45:00Z,22,Clear,Birchcliffe-Cliffside
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D11,2010-10-04,2010,2010-10-04T11:20:00Z,11,Clear,High Park North
Fatal,Clear,Dark,Fatal,Pedestrian,West,D32,2010-10-07,2010,2010-10-07T20:44:00Z,20,Clear,Yonge-Doris
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D33,2010-10-09,2010,2010-10-09T11:23:00Z,11,Clear,Don Valley Village
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D41,2010-10-09,2010,2010-10-09T23:50:00Z,23,Clear,Birchcliffe-Cliffside
Non-Fatal Injury,Clear,Dark,Major,Cyclist,West,D55,2010-10-20,2010,2010-10-20T18:25:00Z,18,Clear,The Beaches
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D32,2010-10-21,2010,2010-10-21T13:15:00Z,13,Clear,NSA
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D41,2010-10-21,2010,2010-10-21T20:50:00Z,20,Clear,Ionview
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,Unknown,D53,2010-10-21,2010,2010-10-21T23:28:00Z,23,Clear,Rosedale-Moore Park
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,Unknown,D52,2010-10-23,2010,2010-10-23T23:02:00Z,23,Clear,Kensington-Chinatown
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D32,2010-10-23,2010,2010-10-23T20:01:00Z,20,Adverse,Newtonbrook East
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,East,D23,2010-10-23,2010,2010-10-23T22:50:00Z,22,Adverse,Kingsview Village-The Westway
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D51,2010-10-24,2010,2010-10-24T19:45:00Z,19,Clear,Regent Park
Non-Fatal Injury,Clear,Dusk,Major,Pedestrian,None,D55,2010-10-29,2010,2010-10-29T18:34:00Z,18,Clear,South Riverdale
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D43,2010-11-01,2010,2010-11-01T11:00:00Z,11,Clear,Bendale South
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D22,2010-11-01,2010,2010-11-01T14:10:00Z,14,Clear,Mimico-Queensway
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D14,2010-11-07,2010,2020-10-11T07:15:00Z,7,Clear,Kensington-Chinatown
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D23,2010-11-09,2010,2010-11-09T21:46:00Z,21,Clear,Thistletown-Beaumond Heights
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D23,2010-11-09,2010,2010-11-09T21:46:00Z,21,Clear,Thistletown-Beaumond Heights
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D23,2010-11-12,2010,2010-11-12T18:20:00Z,18,Clear,Willowridge-Martingrove-Richview
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D12,2010-11-14,2010,2010-11-14T18:50:00Z,18,Clear,Mount Dennis
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,South,D11,2010-11-16,2010,2010-11-16T18:20:00Z,18,Adverse,High Park-Swansea
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,South,D11,2010-11-16,2010,2010-11-16T18:20:00Z,18,Adverse,High Park-Swansea
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,East,D31,2010-11-16,2010,2010-11-16T20:01:00Z,20,Adverse,Black Creek
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D41,2010-11-17,2010,2010-11-17T15:34:00Z,15,Clear,Kennedy Park
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D32,2010-11-17,2010,2010-11-17T18:53:00Z,18,Clear,Westminster-Branson
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,North,D53,2010-11-22,2010,2010-11-22T15:42:00Z,15,Adverse,Thorncliffe Park
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D53,2010-11-22,2010,2010-11-22T18:18:00Z,18,Adverse,Lawrence Park South
Fatal,Clear,Dark,Fatal,Pedestrian,North,D13,2010-11-26,2010,2010-11-26T17:19:00Z,17,Clear,Humewood-Cedarvale
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D53,2010-11-26,2010,2010-11-26T20:26:00Z,20,Clear,Leaside-Bennington
Non-Fatal Injury,Clear,Other,Major,Pedestrian,Unknown,D52,2010-11-28,2010,2010-11-28T23:05:00Z,23,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Daylight,Minor,Pedestrian,Unknown,D52,2010-11-28,2010,2010-11-28T12:17:00Z,12,Clear,St Lawrence-East Bayfront-The Islands
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,Unknown,D52,2010-11-28,2010,2010-11-28T12:17:00Z,12,Clear,St Lawrence-East Bayfront-The Islands
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,North,D11,2010-11-29,2010,2010-11-29T16:20:00Z,16,Clear,South Parkdale
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D41,2010-11-30,2010,2010-11-30T18:12:00Z,18,Adverse,Wexford/Maryvale
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D11,2010-12-06,2010,2010-12-06T14:45:00Z,14,Unknown,High Park North
Non-Fatal Injury,Snow,Dark,Major,Pedestrian,North,D11,2010-12-06,2010,2010-12-06T18:55:00Z,18,Clear,High Park-Swansea
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D42,2010-12-08,2010,2010-12-08T15:12:00Z,15,Clear,Steeles
Fatal,Clear,Dark,Fatal,Pedestrian,East,D41,2010-12-11,2010,2010-12-11T19:35:00Z,19,Clear,Clairlea-Birchmount
Non-Fatal Injury,Clear,Dark,Minor,Pedestrian,North,D22,2010-12-13,2010,2010-12-13T17:25:00Z,17,Clear,Humber Bay Shores
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D11,2010-12-15,2010,2010-12-15T13:18:00Z,13,Adverse,High Park North
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D14,2010-12-19,2010,2010-12-19T21:01:00Z,21,Clear,Trinity-Bellwoods
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D41,2010-12-20,2010,2010-12-20T15:40:00Z,15,Adverse,Wexford/Maryvale
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D55,2010-12-21,2010,2010-12-21T16:39:00Z,16,Clear,North Riverdale
Fatal,Clear,Dark,Fatal,Pedestrian,Unknown,D13,2010-12-23,2010,2010-12-23T20:27:00Z,20,Clear,Casa Loma
Fatal,Snow,Dark,Fatal,Pedestrian,North,NSA,2010-12-28,2010,2010-12-28T17:34:00Z,17,Adverse,NSA
Non-Fatal Injury,Snow,Dark,Major,Pedestrian,Unknown,D42,2010-12-28,2010,2010-12-28T17:50:00Z,17,Adverse,Milliken
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D55,2010-12-29,2010,2010-12-29T21:59:00Z,21,Clear,Playter Estates-Danforth
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D14,2011-01-05,2011,2011-01-05T10:07:00Z,10,Clear,Annex
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D42,2011-01-05,2011,2011-01-05T16:39:00Z,16,Adverse,Tam O'Shanter-Sullivan
Non-Fatal Injury,Snow,Daylight,Major,Pedestrian,South,D52,2011-01-06,2011,2011-01-06T14:15:00Z,14,Adverse,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D31,2011-01-07,2011,2011-01-07T19:00:00Z,19,Clear,Glenfield-Jane Heights
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D32,2011-01-10,2011,2011-01-10T12:32:00Z,12,Clear,Lansing-Westgate
Fatal,Clear,Daylight,Fatal,Pedestrian,North,D14,2011-01-11,2011,2011-01-11T10:23:00Z,10,Adverse,Kensington-Chinatown
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D52,2011-01-11,2011,2011-01-11T11:40:00Z,11,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Snow,Dark,Major,Pedestrian,Unknown,D14,2011-01-11,2011,2011-01-11T19:56:00Z,19,Unknown,Wellington Place
Non-Fatal Injury,Snow,Daylight,Major,Pedestrian,South,D55,2011-01-19,2011,2011-01-19T13:51:00Z,13,Adverse,Woodbine-Lumsden
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D12,2011-01-19,2011,2011-01-19T15:45:00Z,15,Clear,Rockcliffe-Smythe
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D52,2011-01-21,2011,2011-01-21T11:50:00Z,11,Adverse,Yonge-Bay Corridor
Fatal,Clear,Dark,Fatal,Pedestrian,West,D53,2011-01-25,2011,2011-01-25T20:58:00Z,20,Adverse,Forest Hill North
Non-Fatal Injury,Clear,Dark,Major,Cyclist,South,D52,2011-01-26,2011,2011-01-26T17:30:00Z,17,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D51,2011-02-11,2011,2011-02-11T18:22:00Z,18,Clear,Moss Park
Non-Fatal Injury,Snow,Dark,Major,Pedestrian,North,D14,2011-02-12,2011,2011-02-12T11:04:00Z,11,Adverse,West Queen West
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D42,2011-02-16,2011,2011-02-16T12:00:00Z,12,Clear,Morningside Heights
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D55,2011-02-18,2011,2011-02-18T14:08:00Z,14,Clear,South Riverdale
Non-Fatal Injury,Clear,Daylight,Minor,Pedestrian,East,D55,2011-02-18,2011,2011-02-18T14:08:00Z,14,Clear,South Riverdale
Non-Fatal Injury,Other,Dark,Major,Pedestrian,None,D12,2011-02-21,2011,2011-02-21T20:22:00Z,20,Unknown,Pelmo Park-Humberlea
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D12,2011-02-21,2011,2011-02-21T20:22:00Z,20,Clear,Pelmo Park-Humberlea
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D33,2011-02-23,2011,2011-02-23T12:03:00Z,12,Clear,Banbury-Don Mills
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D22,2011-02-23,2011,2011-02-23T18:40:00Z,18,Clear,Etobicoke City Centre
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,East,D14,2011-03-04,2011,2011-03-04T21:35:00Z,21,Adverse,West Queen West
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,North,D22,2011-03-05,2011,2011-03-05T22:57:00Z,22,Adverse,Edenbridge-Humber Valley
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D43,2011-03-08,2011,2011-03-08T15:37:00Z,15,Clear,West Hill
Non-Fatal Injury,Snow,Daylight,Major,Pedestrian,East,D11,2011-03-09,2011,2011-03-09T11:45:00Z,11,Adverse,Runnymede-Bloor West Village
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,East,D51,2011-03-12,2011,2011-03-12T19:17:00Z,19,Adverse,Downtown Yonge East
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D43,2011-03-13,2011,2011-03-13T13:50:00Z,13,Clear,Bendale South
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D51,2011-03-14,2011,2011-03-14T13:07:00Z,13,Clear,Church-Wellesley
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,West,D53,2011-03-15,2011,2011-03-15T18:25:00Z,18,Clear,Rosedale-Moore Park
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D53,2011-03-20,2011,2011-03-20T21:20:00Z,21,Clear,Yonge-Eglinton
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D43,2011-03-20,2011,2011-03-20T22:15:00Z,22,Clear,Scarborough Village
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D12,2011-03-24,2011,2011-03-24T15:20:00Z,15,Clear,Weston
Fatal,Clear,Dark,Fatal,Pedestrian,South,D42,2011-03-24,2011,2011-03-24T22:25:00Z,22,Clear,Malvern East
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,South,D51,2011-04-05,2011,2011-04-05T10:20:00Z,10,Clear,Cabbagetown-South St.James Town
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,South,D33,2011-04-06,2011,2011-04-06T21:38:00Z,21,Clear,Henry Farm
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,None,D23,2011-04-11,2011,2011-04-11T17:50:00Z,17,Clear,Humber Heights-Westmount
Non-Fatal Injury,Clear,Daylight,Major,Cyclist,East,D52,2011-04-18,2011,2011-04-18T13:15:00Z,13,Clear,Yonge-Bay Corridor
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D41,2011-04-20,2011,2011-04-20T17:30:00Z,17,Clear,Eglinton East
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D22,2011-04-20,2011,2011-04-20T19:10:00Z,19,Clear,Markland Wood
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,Unknown,D22,2011-04-26,2011,2011-04-26T20:00:00Z,20,Adverse,Mimico-Queensway
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D13,2011-05-07,2011,2011-05-07T14:50:00Z,14,Clear,Junction-Wallace Emerson
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D13,2011-05-07,2011,2011-05-07T18:23:00Z,18,Clear,Oakwood Village
Non-Fatal Injury,Clear,Dark,Major,Cyclist,South,D13,2011-05-07,2011,2011-05-07T21:28:00Z,21,Clear,Wychwood
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,East,D55,2011-05-15,2011,2011-05-15T10:47:00Z,10,Adverse,Old East York
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D55,2011-05-18,2011,2011-05-18T12:45:00Z,12,Adverse,Old East York
Non-Fatal Injury,Rain,Daylight,Major,Pedestrian,Unknown,D12,2011-05-20,2011,2011-05-20T16:20:00Z,16,Adverse,Rockcliffe-Smythe
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D13,2011-05-20,2011,2011-05-20T18:19:00Z,18,Clear,Junction-Wallace Emerson
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D55,2011-05-20,2011,2011-05-20T19:32:00Z,19,Clear,East End-Danforth
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,North,D32,2011-05-22,2011,2011-05-22T14:30:00Z,14,Adverse,East Willowdale
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D55,2011-05-22,2011,2011-05-22T20:04:00Z,20,Clear,Danforth East York
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,East,D23,2011-05-23,2011,2011-05-23T13:50:00Z,13,Clear,Thistletown-Beaumond Heights
Non-Fatal Injury,Clear,Daylight,Major,Pedestrian,South,D41,2011-05-24,2011,2011-05-24T19:00:00Z,19,Clear,Clairlea-Birchmount
