DATE,TIME,ACCLASS,VISIBILITY,LIGHT,RDSFCOND,INJURY,INVTYPE,INITDIR,NEIGHBOURHOOD_158,DIVISION
2022-04-20,02:18,Collision,Fog,Dawn,Slush,None,Driver,NW,Neighbourhood 11,Division 1
2013-03-09,09:39,Collision,Clear,Dusk,Slush,None,Cyclist,S,Neighbourhood 15,Division 1
2015-01-08,00:33,Near Miss,Snow,Dusk,Slush,None,Pedestrian,NE,Neighbourhood 1,Division 1
2014-04-11,14:42,Near Miss,Other,Daylight,Wet,None,Cyclist,W,Neighbourhood 18,Division 1
2018-04-06,15:43,Collision,Fog,Daylight,Slush,None,Driver,SW,Neighbourhood 3,Division 1
2023-06-12,22:33,Near Miss,Clear,Dark,Snow,None,Passenger,NE,Neighbourhood 3,Division 1
2022-01-30,08:13,Near Miss,Clear,Dusk,Dry,None,Pedestrian,E,Neighbourhood 13,Division 4
2021-12-04,04:58,Near Miss,Snow,Dusk,Snow,None,Cyclist,W,Neighbourhood 17,Division 1
2023-01-26,08:44,Collision,Fog,Dawn,Ice,Minor,Driver,SW,Neighbourhood 13,Division 5
2020-09-12,18:05,Near Miss,Clear,Dawn,Snow,None,Pedestrian,NE,Neighbourhood 9,Division 2
2013-11-30,09:48,Collision,Fog,Dawn,Dry,None,Pedestrian,W,Neighbourhood 17,Division 5
2014-04-20,17:16,Near Miss,Rain,Daylight,Slush,None,Driver,E,Neighbourhood 3,Division 2
2021-09-23,22:26,Collision,Snow,Dawn,Ice,None,Driver,NW,Neighbourhood 18,Division 5
2023-12-15,03:35,Collision,Rain,Dark,Dry,None,Pedestrian,E,Neighbourhood 16,Division 5
2020-08-07,02:01,Collision,Other,Dawn,Ice,None,Pedestrian,SE,Neighbourhood 13,Division 4
2014-08-15,01:28,Collision,Snow,Daylight,Dry,None,Passenger,E,Neighbourhood 18,Division 1
2016-06-30,13:24,Near Miss,Other,Dark,Wet,Minor,Passenger,NE,Neighbourhood 18,Division 3
2014-09-19,11:33,Collision,Snow,Dawn,Dry,None,Cyclist,W,Neighbourhood 2,Division 3
2023-12-11,05:54,Collision,Snow,Dark,Ice,Minor,Passenger,NE,Neighbourhood 15,Division 5
2021-03-24,09:19,Collision,Other,Dark,Dry,None,Driver,SE,Neighbourhood 20,Division 3
2017-04-28,10:18,Collision,Snow,Dawn,Ice,None,Cyclist,SW,Neighbourhood 4,Division 2
2019-01-24,05:46,Collision,Rain,Dawn,Dry,Minor,Passenger,W,Neighbourhood 6,Division 4
2013-04-29,11:48,Collision,Rain,Dawn,Dry,Minor,Passenger,NW,Neighbourhood 18,Division 5
2016-09-12,21:32,Near Miss,Fog,Dusk,Slush,None,Cyclist,W,Neighbourhood 14,Division 3
2022-06-10,02:41,Collision,Other,Dusk,Slush,None,Passenger,NW,Neighbourhood 8,Division 3
2014-05-26,17:46,Collision,Clear,Dawn,Slush,None,Passenger,SE,Neighbourhood 2,Division 2
2021-09-14,12:32,Near Miss,Snow,Dark,Slush,None,Passenger,NW,Neighbourhood 2,Division 1
2014-01-29,15:02,Collision,Rain,Dark,Ice,None,Passenger,E,Neighbourhood 8,Division 2
2013-03-18,23:46,Near Miss,Other,Dusk,Dry,None,Pedestrian,NE,Neighbourhood 12,Division 1
2016-01-14,15:39,Collision,Fog,Dusk,Snow,Major,Driver,N,Neighbourhood 12,Division 1
2017-07-10,07:10,Collision,Clear,Dawn,Slush,None,Passenger,SW,Neighbourhood 3,Division 2
2013-09-25,03:37,Near Miss,Rain,Dark,Ice,None,Driver,S,Neighbourhood 17,Division 1
2021-10-04,18:01,Near Miss,Snow,Dark,Dry,Minor,Passenger,NE,Neighbourhood 2,Division 2
2018-07-27,22:43,Near Miss,Snow,Dusk,Slush,None,Passenger,SE,Neighbourhood 3,Division 4
2018-09-14,19:44,Collision,Snow,Dusk,Snow,Minor,Cyclist,SE,Neighbourhood 9,Division 2
2020-10-04,16:49,Collision,Fog,Daylight,Wet,Minor,Cyclist,SW,Neighbourhood 13,Division 2
2022-02-22,12:43,Collision,Rain,Dark,Snow,None,Pedestrian,E,Neighbourhood 18,Division 5
2013-09-02,05:30,Collision,Clear,Dark,Wet,Minor,Driver,S,Neighbourhood 17,Division 4
2016-09-14,23:32,Collision,Rain,Dusk,Snow,None,Driver,E,Neighbourhood 7,Division 3
2021-10-27,14:45,Near Miss,Clear,Dawn,Wet,None,Driver,NW,Neighbourhood 15,Division 5
2016-02-13,10:53,Near Miss,Snow,Daylight,Slush,Major,Pedestrian,SW,Neighbourhood 7,Division 2
2021-12-17,14:30,Collision,Clear,Dark,Wet,None,Cyclist,NE,Neighbourhood 3,Division 1
2015-05-14,02:53,Near Miss,Snow,Daylight,Slush,Minor,Driver,SW,Neighbourhood 16,Division 1
2019-02-08,08:23,Near Miss,Clear,Dark,Ice,Minor,Pedestrian,SE,Neighbourhood 10,Division 1
2013-03-04,23:37,Near Miss,Fog,Dark,Wet,Minor,Passenger,S,Neighbourhood 8,Division 1
2013-07-31,23:57,Collision,Snow,Dark,Wet,None,Cyclist,W,Neighbourhood 2,Division 2
2019-08-02,02:59,Collision,Clear,Dusk,Wet,None,Pedestrian,N,Neighbourhood 6,Division 2
2020-10-15,21:35,Near Miss,Rain,Daylight,Snow,None,Pedestrian,E,Neighbourhood 18,Division 1
2020-03-09,04:43,Collision,Clear,Daylight,Ice,None,Cyclist,S,Neighbourhood 17,Division 3
2019-05-08,18:45,Collision,Fog,Dusk,Wet,Minor,Pedestrian,NW,Neighbourhood 10,Division 3
2020-06-16,07:36,Collision,Clear,Dusk,Wet,Minor,Cyclist,SW,Neighbourhood 10,Division 1
2015-04-24,07:29,Collision,Rain,Dawn,Snow,Minor,Cyclist,SW,Neighbourhood 5,Division 5
2015-08-10,00:47,Collision,Other,Dark,Snow,None,Passenger,N,Neighbourhood 15,Division 1
2018-01-09,09:44,Near Miss,Fog,Dusk,Slush,Minor,Driver,S,Neighbourhood 20,Division 5
2016-09-28,22:27,Collision,Snow,Dawn,Ice,None,Cyclist,W,Neighbourhood 16,Division 4
2017-05-30,19:50,Near Miss,Fog,Dark,Wet,Minor,Driver,SW,Neighbourhood 7,Division 4
2017-09-30,14:24,Near Miss,Clear,Dawn,Wet,None,Pedestrian,N,Neighbourhood 13,Division 2
2023-07-04,22:01,Collision,Snow,Dawn,Snow,Major,Driver,S,Neighbourhood 5,Division 1
2015-06-12,14:27,Near Miss,Snow,Dark,Slush,Minor,Cyclist,E,Neighbourhood 18,Division 1
2017-01-07,16:35,Near Miss,Fog,Daylight,Wet,None,Driver,NW,Neighbourhood 5,Division 1
2022-09-15,05:53,Near Miss,Snow,Dawn,Slush,None,Pedestrian,SE,Neighbourhood 12,Division 1
2018-10-18,21:05,Collision,Snow,Dusk,Dry,Minor,Pedestrian,NW,Neighbourhood 10,Division 3
2019-06-11,12:09,Near Miss,Rain,Daylight,Ice,Minor,Cyclist,SE,Neighbourhood 14,Division 3
2015-11-01,18:17,Collision,Rain,Dark,Ice,None,Pedestrian,NW,Neighbourhood 6,Division 5
2022-07-22,17:54,Near Miss,Snow,Daylight,Ice,None,Cyclist,E,Neighbourhood 20,Division 3
2016-06-10,21:03,Near Miss,Other,Dark,Ice,None,Pedestrian,SW,Neighbourhood 17,Division 4
2020-05-26,08:55,Near Miss,Fog,Dawn,Slush,None,Pedestrian,E,Neighbourhood 8,Division 5
2019-10-23,11:57,Near Miss,Snow,Dusk,Snow,Minor,Pedestrian,E,Neighbourhood 12,Division 2
2017-06-09,21:07,Collision,Rain,Dark,Slush,None,Driver,N,Neighbourhood 2,Division 3
2017-06-13,21:35,Collision,Other,Dawn,Slush,Minor,Pedestrian,S,Neighbourhood 17,Division 1
2023-08-01,21:36,Collision,Fog,Dark,Ice,None,Driver,W,Neighbourhood 2,Division 3
2016-06-19,18:16,Collision,Rain,Daylight,Slush,Minor,Pedestrian,N,Neighbourhood 9,Division 1
2013-03-05,08:46,Near Miss,Clear,Daylight,Ice,Major,Pedestrian,SW,Neighbourhood 10,Division 3
2014-10-08,20:46,Collision,Other,Dusk,Dry,Minor,Pedestrian,E,Neighbourhood 5,Division 2
2015-07-10,22:30,Near Miss,Snow,Dawn,Snow,Major,Pedestrian,SE,Neighbourhood 9,Division 4
2017-04-14,05:32,Near Miss,Other,Daylight,Slush,Minor,Cyclist,SE,Neighbourhood 14,Division 3
2022-05-03,07:01,Near Miss,Other,Dusk,Snow,Fatal,Driver,SE,Neighbourhood 19,Division 1
2021-02-06,23:07,Collision,Clear,Dark,Snow,None,Cyclist,S,Neighbourhood 6,Division 1
2020-06-03,04:16,Collision,Fog,Dark,Dry,None,Cyclist,SW,Neighbourhood 15,Division 1
2014-03-08,09:56,Near Miss,Other,Daylight,Ice,None,Passenger,N,Neighbourhood 3,Division 3
2013-08-27,22:52,Near Miss,Rain,Dark,Snow,None,Driver,NE,Neighbourhood 9,Division 3
2023-07-28,09:35,Collision,Fog,Dawn,Slush,None,Cyclist,SE,Neighbourhood 16,Division 5
2021-01-09,14:31,Near Miss,Clear,Dark,Ice,None,Cyclist,SE,Neighbourhood 11,Division 4
2018-05-25,04:01,Near Miss,Fog,Dawn,Snow,None,Cyclist,NE,Neighbourhood 12,Division 4
2022-09-08,06:33,Collision,Other,Dusk,Ice,None,Passenger,S,Neighbourhood 20,Division 3
2019-05-16,03:24,Collision,Other,Dawn,Snow,None,Driver,S,Neighbourhood 4,Division 4
2020-08-20,06:57,Collision,Rain,Dark,Wet,Minor,Pedestrian,S,Neighbourhood 4,Division 2
2023-01-07,20:50,Collision,Clear,Dark,Ice,None,Passenger,NE,Neighbourhood 20,Division 3
2022-03-19,18:23,Collision,Other,Dusk,Slush,None,Driver,E,Neighbourhood 7,Division 2
2018-08-28,14:58,Near Miss,Rain,Dark,Ice,None,Cyclist,W,Neighbourhood 2,Division 3
2019-11-22,17:34,Near Miss,Snow,Dark,Dry,None,Driver,N,Neighbourhood 15,Division 1
2021-09-29,12:31,Near Miss,Fog,Dusk,Ice,None,Passenger,S,Neighbourhood 17,Division 3
2023-05-19,19:42,Near Miss,Other,Dark,Slush,None,Driver,S,Neighbourhood 6,Division 4
2013-06-27,03:32,Near Miss,Fog,Dusk,Ice,None,Cyclist,E,Neighbourhood 2,Division 2
2021-04-14,23:34,Collision,Rain,Dark,Slush,Minor,Cyclist,NE,Neighbourhood 8,Division 2
2020-07-12,19:50,Collision,Snow,Dark,Ice,Minor,Cyclist,E,Neighbourhood 2,Division 3
2019-11-05,16:23,Collision,Fog,Daylight,Snow,Minor,Cyclist,NE,Neighbourhood 6,Division 2
2023-12-04,16:53,Near Miss,Fog,Daylight,Wet,None,Cyclist,SW,Neighbourhood 17,Division 5
2019-12-28,11:25,Near Miss,Other,Dark,Slush,None,Cyclist,SE,Neighbourhood 17,Division 4
2020-03-19,11:07,Near Miss,Rain,Dark,Dry,None,Cyclist,SE,Neighbourhood 13,Division 4
2020-12-31,00:50,Near Miss,Snow,Daylight,Wet,None,Passenger,S,Neighbourhood 16,Division 3
2019-06-09,08:34,Collision,Snow,Dark,Slush,None,Passenger,W,Neighbourhood 20,Division 5
2019-04-30,17:39,Collision,Clear,Dusk,Snow,None,Pedestrian,SE,Neighbourhood 13,Division 1
2013-05-20,07:17,Collision,Snow,Dawn,Snow,None,Passenger,SE,Neighbourhood 2,Division 3
2021-08-27,16:07,Collision,Other,Dusk,Slush,None,Driver,SW,Neighbourhood 13,Division 2
2014-12-28,00:59,Near Miss,Other,Dark,Dry,Major,Driver,NE,Neighbourhood 19,Division 1
2014-11-08,18:04,Collision,Fog,Daylight,Dry,None,Driver,NW,Neighbourhood 8,Division 5
2018-04-14,15:55,Collision,Clear,Daylight,Snow,None,Passenger,SE,Neighbourhood 3,Division 4
2015-09-02,00:11,Collision,Rain,Dusk,Dry,None,Passenger,SW,Neighbourhood 8,Division 1
2016-10-07,18:38,Collision,Clear,Dark,Dry,Minor,Cyclist,W,Neighbourhood 10,Division 5
2020-11-20,14:27,Collision,Other,Dusk,Slush,None,Driver,S,Neighbourhood 4,Division 5
2022-07-30,22:18,Collision,Rain,Daylight,Ice,Fatal,Passenger,N,Neighbourhood 16,Division 5
2015-10-18,11:58,Collision,Fog,Dark,Ice,None,Driver,SW,Neighbourhood 7,Division 5
2021-09-19,22:14,Collision,Fog,Dusk,Dry,Minor,Cyclist,SE,Neighbourhood 12,Division 5
2019-04-15,16:27,Near Miss,Rain,Dusk,Ice,None,Pedestrian,S,Neighbourhood 13,Division 3
2018-11-01,16:41,Near Miss,Clear,Dusk,Wet,None,Cyclist,N,Neighbourhood 2,Division 1
2021-08-17,16:18,Collision,Snow,Dark,Ice,None,Driver,SW,Neighbourhood 12,Division 1
2023-03-12,19:03,Collision,Other,Dark,Slush,None,Driver,S,Neighbourhood 8,Division 2
2019-11-02,14:58,Near Miss,Other,Dawn,Snow,Fatal,Cyclist,SE,Neighbourhood 20,Division 3
2020-02-07,10:12,Collision,Fog,Dawn,Snow,None,Cyclist,SW,Neighbourhood 17,Division 5
2017-10-11,16:03,Collision,Fog,Dusk,Wet,None,Passenger,E,Neighbourhood 3,Division 4
2017-10-02,04:52,Collision,Fog,Dawn,Ice,Minor,Cyclist,SE,Neighbourhood 14,Division 1
2023-09-22,10:30,Near Miss,Rain,Dusk,Wet,None,Pedestrian,W,Neighbourhood 13,Division 4
2016-05-20,05:06,Near Miss,Snow,Dusk,Dry,None,Passenger,E,Neighbourhood 11,Division 3
2018-01-10,05:31,Near Miss,Fog,Dusk,Ice,None,Driver,SE,Neighbourhood 17,Division 3
2020-10-08,17:46,Collision,Clear,Daylight,Ice,Minor,Driver,NE,Neighbourhood 9,Division 4
2021-12-02,20:27,Near Miss,Rain,Daylight,Wet,Major,Cyclist,SW,Neighbourhood 15,Division 3
2016-05-16,19:44,Collision,Other,Dark,Ice,None,Driver,W,Neighbourhood 18,Division 3
2020-06-16,09:34,Near Miss,Snow,Daylight,Dry,Minor,Pedestrian,S,Neighbourhood 11,Division 3
2021-08-16,04:37,Near Miss,Snow,Dawn,Ice,Minor,Driver,E,Neighbourhood 3,Division 3
2022-06-17,02:56,Collision,Rain,Daylight,Wet,None,Driver,SE,Neighbourhood 9,Division 3
2019-10-19,21:02,Near Miss,Other,Daylight,Ice,None,Pedestrian,SE,Neighbourhood 13,Division 1
2015-01-28,02:32,Collision,Rain,Dusk,Snow,None,Passenger,S,Neighbourhood 15,Division 5
2022-12-14,17:14,Near Miss,Fog,Dawn,Dry,None,Pedestrian,N,Neighbourhood 5,Division 3
2013-05-09,05:43,Near Miss,Fog,Dark,Slush,None,Driver,NE,Neighbourhood 11,Division 1
2021-08-30,19:23,Near Miss,Rain,Dark,Wet,Major,Cyclist,SE,Neighbourhood 6,Division 1
2022-05-25,23:08,Collision,Clear,Daylight,Snow,None,Driver,E,Neighbourhood 2,Division 5
2021-10-29,01:45,Collision,Snow,Dark,Snow,Minor,Driver,N,Neighbourhood 2,Division 4
2014-11-06,13:04,Collision,Clear,Dusk,Slush,None,Pedestrian,W,Neighbourhood 1,Division 2
2016-08-12,09:14,Collision,Fog,Dusk,Snow,Minor,Cyclist,SE,Neighbourhood 3,Division 3
2015-03-12,02:40,Collision,Clear,Daylight,Ice,None,Pedestrian,NW,Neighbourhood 14,Division 1
2016-08-08,15:44,Near Miss,Clear,Daylight,Slush,None,Passenger,W,Neighbourhood 6,Division 3
2017-03-09,23:03,Near Miss,Rain,Daylight,Slush,Minor,Pedestrian,SE,Neighbourhood 16,Division 3
2018-07-23,12:06,Collision,Other,Daylight,Dry,None,Pedestrian,W,Neighbourhood 7,Division 5
2014-05-22,19:25,Near Miss,Fog,Dark,Ice,None,Passenger,SE,Neighbourhood 11,Division 3
2013-10-31,18:44,Near Miss,Other,Daylight,Snow,None,Driver,SE,Neighbourhood 18,Division 2
2018-03-21,13:28,Collision,Other,Dusk,Snow,Minor,Driver,SW,Neighbourhood 13,Division 3
2015-11-29,18:28,Collision,Other,Dawn,Snow,None,Cyclist,NW,Neighbourhood 15,Division 2
2015-07-16,15:29,Collision,Clear,Dawn,Snow,Minor,Driver,SE,Neighbourhood 4,Division 2
2019-07-23,06:26,Near Miss,Clear,Dawn,Snow,Fatal,Passenger,S,Neighbourhood 5,Division 5
2014-10-01,14:44,Collision,Snow,Dusk,Slush,None,Pedestrian,E,Neighbourhood 6,Division 4
2022-05-27,11:05,Near Miss,Other,Dusk,Snow,None,Passenger,SW,Neighbourhood 7,Division 1
2015-08-12,15:25,Near Miss,Clear,Daylight,Dry,None,Pedestrian,NW,Neighbourhood 10,Division 5
2021-10-07,21:18,Near Miss,Other,Daylight,Wet,Minor,Driver,SE,Neighbourhood 5,Division 4
2013-11-12,03:17,Collision,Snow,Dawn,Snow,None,Driver,S,Neighbourhood 15,Division 1
2018-12-17,06:39,Collision,Fog,Dark,Snow,Minor,Passenger,NE,Neighbourhood 11,Division 3
2020-11-19,07:59,Collision,Snow,Daylight,Wet,None,Passenger,NE,Neighbourhood 12,Division 3
2013-06-13,14:44,Near Miss,Snow,Dawn,Wet,None,Cyclist,N,Neighbourhood 13,Division 4
2013-04-13,18:31,Near Miss,Rain,Dark,Wet,None,Cyclist,NE,Neighbourhood 15,Division 1
2021-02-22,03:37,Near Miss,Snow,Dawn,Slush,None,Cyclist,SE,Neighbourhood 9,Division 2
2021-06-20,06:22,Near Miss,Clear,Dark,Ice,Minor,Cyclist,N,Neighbourhood 13,Division 2
2018-12-04,11:18,Near Miss,Snow,Dark,Wet,None,Pedestrian,E,Neighbourhood 11,Division 1
2017-04-08,05:48,Collision,Clear,Dusk,Snow,None,Pedestrian,E,Neighbourhood 18,Division 4
2018-03-01,05:05,Collision,Rain,Dawn,Ice,Minor,Passenger,NE,Neighbourhood 4,Division 4
2014-05-07,06:09,Near Miss,Snow,Dusk,Ice,Minor,Cyclist,E,Neighbourhood 2,Division 2
2022-03-25,06:56,Near Miss,Clear,Dusk,Snow,None,Cyclist,S,Neighbourhood 5,Division 1
2015-12-10,23:44,Collision,Snow,Daylight,Ice,None,Driver,S,Neighbourhood 15,Division 5
2015-02-23,02:07,Collision,Rain,Dark,Slush,Minor,Passenger,SW,Neighbourhood 13,Division 4
2015-10-07,20:18,Collision,Snow,Dark,Wet,Minor,Passenger,W,Neighbourhood 8,Division 2
2017-04-12,02:16,Collision,Snow,Dark,Snow,None,Pedestrian,S,Neighbourhood 1,Division 2
2022-04-11,22:19,Collision,Clear,Dark,Dry,None,Driver,SW,Neighbourhood 10,Division 3
2023-10-14,06:11,Near Miss,Snow,Dark,Ice,Minor,Cyclist,NE,Neighbourhood 14,Division 2
2016-05-15,20:43,Near Miss,Rain,Daylight,Dry,None,Cyclist,N,Neighbourhood 20,Division 5
2015-12-22,11:02,Near Miss,Clear,Dusk,Dry,None,Pedestrian,S,Neighbourhood 6,Division 2
2019-11-07,02:55,Collision,Clear,Daylight,Dry,None,Cyclist,NW,Neighbourhood 12,Division 5
2019-11-11,15:10,Collision,Clear,Dawn,Ice,None,Pedestrian,W,Neighbourhood 10,Division 5
2013-08-13,14:02,Collision,Clear,Dark,Wet,None,Passenger,E,Neighbourhood 18,Division 3
2021-03-13,21:56,Collision,Fog,Dawn,Dry,None,Pedestrian,S,Neighbourhood 13,Division 4
2016-06-02,23:30,Near Miss,Clear,Dusk,Snow,Minor,Pedestrian,SE,Neighbourhood 14,Division 3
2013-06-20,17:53,Near Miss,Rain,Dawn,Ice,Minor,Driver,W,Neighbourhood 14,Division 3
2019-03-29,00:24,Collision,Other,Dark,Dry,None,Cyclist,W,Neighbourhood 9,Division 5
2013-03-07,16:19,Near Miss,Clear,Dawn,Dry,None,Cyclist,NW,Neighbourhood 4,Division 5
2022-08-19,17:45,Collision,Fog,Dusk,Ice,Minor,Pedestrian,NW,Neighbourhood 2,Division 4
2018-10-20,06:44,Near Miss,Rain,Daylight,Wet,None,Cyclist,SW,Neighbourhood 11,Division 3
2014-03-16,16:13,Collision,Rain,Dusk,Dry,None,Passenger,E,Neighbourhood 1,Division 5
2021-11-16,04:14,Collision,Clear,Daylight,Wet,None,Cyclist,NW,Neighbourhood 14,Division 3
2021-11-24,20:04,Near Miss,Rain,Dusk,Dry,None,Cyclist,S,Neighbourhood 10,Division 3
2013-02-14,15:01,Collision,Other,Daylight,Dry,None,Pedestrian,E,Neighbourhood 1,Division 2
2020-07-07,12:22,Collision,Fog,Dawn,Ice,Minor,Passenger,NW,Neighbourhood 11,Division 4
2017-11-04,04:43,Collision,Other,Dawn,Wet,Minor,Pedestrian,W,Neighbourhood 4,Division 2
2022-12-06,17:28,Collision,Snow,Dawn,Ice,None,Cyclist,SW,Neighbourhood 4,Division 5
2017-05-02,23:24,Near Miss,Other,Dawn,Dry,Minor,Driver,N,Neighbourhood 9,Division 3
2013-01-18,02:05,Collision,Rain,Dawn,Slush,None,Passenger,S,Neighbourhood 14,Division 5
2023-08-05,01:20,Collision,Clear,Dusk,Slush,Minor,Pedestrian,N,Neighbourhood 4,Division 4
2023-08-20,16:14,Collision,Rain,Dark,Ice,Major,Driver,SW,Neighbourhood 16,Division 2
2021-03-29,20:14,Collision,Clear,Dusk,Dry,None,Passenger,E,Neighbourhood 6,Division 5
2017-05-26,18:27,Near Miss,Snow,Dawn,Slush,Minor,Driver,SE,Neighbourhood 7,Division 2
2017-08-03,19:22,Collision,Snow,Dusk,Ice,None,Driver,N,Neighbourhood 19,Division 4
2022-01-17,13:02,Near Miss,Other,Dark,Slush,None,Pedestrian,NW,Neighbourhood 19,Division 4
2018-07-21,18:35,Near Miss,Fog,Dusk,Ice,None,Pedestrian,NE,Neighbourhood 15,Division 3
2020-08-28,13:13,Near Miss,Other,Dusk,Dry,None,Cyclist,N,Neighbourhood 2,Division 5
2023-04-23,09:32,Collision,Snow,Dusk,Dry,None,Pedestrian,S,Neighbourhood 2,Division 4
2015-10-25,14:27,Collision,Snow,Daylight,Snow,None,Pedestrian,SE,Neighbourhood 15,Division 5
2018-11-02,02:14,Near Miss,Clear,Dark,Wet,None,Pedestrian,NE,Neighbourhood 9,Division 4
2014-01-05,22:48,Near Miss,Other,Dawn,Dry,None,Pedestrian,N,Neighbourhood 13,Division 5
2018-11-04,06:50,Collision,Fog,Dark,Snow,None,Passenger,E,Neighbourhood 3,Division 1
2023-03-02,18:05,Collision,Other,Dusk,Dry,Minor,Cyclist,S,Neighbourhood 18,Division 1
2015-05-26,05:33,Near Miss,Fog,Dusk,Ice,Minor,Cyclist,SE,Neighbourhood 14,Division 3
2022-06-21,14:50,Collision,Fog,Dusk,Snow,Minor,Pedestrian,W,Neighbourhood 6,Division 3
2019-03-24,07:50,Collision,Other,Dark,Slush,Minor,Cyclist,SW,Neighbourhood 8,Division 3
2017-05-16,06:23,Collision,Snow,Dark,Slush,None,Cyclist,S,Neighbourhood 19,Division 3
2019-08-26,13:46,Collision,Other,Dawn,Slush,Major,Driver,SW,Neighbourhood 13,Division 4
2017-02-20,09:16,Collision,Fog,Dawn,Ice,None,Driver,NW,Neighbourhood 19,Division 1
2021-12-11,10:36,Collision,Snow,Dark,Snow,None,Driver,NW,Neighbourhood 16,Division 4
2016-03-19,14:51,Collision,Snow,Dawn,Snow,None,Driver,E,Neighbourhood 20,Division 2
2016-07-08,10:15,Near Miss,Snow,Dark,Ice,None,Pedestrian,W,Neighbourhood 5,Division 5
2017-08-02,15:58,Collision,Rain,Dawn,Wet,Major,Driver,SE,Neighbourhood 1,Division 2
2021-07-13,19:41,Near Miss,Rain,Daylight,Dry,None,Passenger,NE,Neighbourhood 11,Division 2
2020-01-17,12:30,Collision,Rain,Daylight,Dry,Minor,Driver,S,Neighbourhood 7,Division 5
2015-11-13,06:26,Near Miss,Fog,Dusk,Wet,None,Driver,SE,Neighbourhood 11,Division 4
2016-06-09,10:44,Collision,Clear,Dark,Dry,None,Driver,NW,Neighbourhood 15,Division 3
2021-01-30,02:38,Near Miss,Fog,Daylight,Wet,Minor,Passenger,SW,Neighbourhood 19,Division 5
2021-07-13,04:58,Collision,Other,Dusk,Snow,Major,Pedestrian,NE,Neighbourhood 1,Division 1
2019-07-30,12:41,Near Miss,Rain,Dusk,Slush,Minor,Cyclist,NE,Neighbourhood 18,Division 3
2014-04-14,02:13,Collision,Clear,Daylight,Snow,Minor,Cyclist,SE,Neighbourhood 1,Division 4
2015-08-30,23:02,Collision,Clear,Daylight,Ice,None,Cyclist,E,Neighbourhood 20,Division 2
2015-11-28,00:27,Near Miss,Other,Daylight,Ice,Minor,Driver,W,Neighbourhood 16,Division 4
2016-02-20,00:03,Collision,Snow,Daylight,Slush,None,Driver,S,Neighbourhood 20,Division 4
2018-11-14,01:35,Near Miss,Fog,Daylight,Snow,None,Pedestrian,S,Neighbourhood 15,Division 3
2017-05-13,02:26,Collision,Snow,Daylight,Slush,Minor,Passenger,SW,Neighbourhood 2,Division 5
2020-01-31,05:29,Collision,Clear,Daylight,Slush,Minor,Passenger,NE,Neighbourhood 6,Division 3
2014-08-01,03:06,Collision,Clear,Dawn,Wet,None,Passenger,SE,Neighbourhood 7,Division 2
2022-07-11,16:13,Near Miss,Rain,Daylight,Slush,Minor,Pedestrian,W,Neighbourhood 1,Division 1
2018-01-12,01:08,Near Miss,Snow,Dawn,Ice,None,Driver,SE,Neighbourhood 10,Division 2
2022-11-22,11:17,Collision,Fog,Daylight,Ice,Minor,Driver,N,Neighbourhood 5,Division 1
2021-07-29,17:02,Near Miss,Clear,Daylight,Dry,None,Driver,W,Neighbourhood 19,Division 4
2021-12-20,17:52,Collision,Rain,Daylight,Snow,None,Driver,NE,Neighbourhood 15,Division 5
2023-12-18,18:58,Collision,Snow,Dusk,Dry,Fatal,Cyclist,W,Neighbourhood 14,Division 4
2019-06-27,07:37,Near Miss,Rain,Daylight,Ice,None,Driver,SE,Neighbourhood 8,Division 2
2018-02-17,18:18,Near Miss,Rain,Daylight,Ice,None,Cyclist,N,Neighbourhood 1,Division 1
2016-08-22,20:23,Near Miss,Clear,Dawn,Ice,None,Pedestrian,S,Neighbourhood 14,Division 2
2020-10-08,03:18,Near Miss,Clear,Dawn,Dry,Minor,Cyclist,SE,Neighbourhood 2,Division 3
2021-04-30,06:27,Near Miss,Snow,Dusk,Snow,Minor,Passenger,NW,Neighbourhood 16,Division 3
2021-07-07,01:41,Collision,Fog,Dark,Slush,None,Cyclist,SE,Neighbourhood 16,Division 2
2022-07-31,02:55,Collision,Other,Daylight,Wet,None,Cyclist,E,Neighbourhood 10,Division 1
2015-04-21,11:16,Near Miss,Clear,Dawn,Ice,None,Cyclist,SW,Neighbourhood 18,Division 4
2021-06-05,15:25,Near Miss,Snow,Dawn,Snow,Minor,Cyclist,S,Neighbourhood 14,Division 3
2022-04-03,07:55,Collision,Clear,Dusk,Snow,Major,Pedestrian,S,Neighbourhood 17,Division 5
2023-04-10,00:28,Near Miss,Rain,Dusk,Wet,Minor,Cyclist,NE,Neighbourhood 12,Division 2
2020-06-07,13:00,Collision,Snow,Daylight,Slush,None,Cyclist,W,Neighbourhood 6,Division 3
2022-06-12,05:37,Collision,Snow,Dusk,Wet,Major,Passenger,W,Neighbourhood 16,Division 1
2013-11-01,00:26,Collision,Fog,Dark,Dry,Minor,Cyclist,SE,Neighbourhood 3,Division 1
2019-12-28,06:40,Near Miss,Rain,Dusk,Wet,Minor,Driver,NW,Neighbourhood 18,Division 2
2017-05-07,15:20,Collision,Snow,Dark,Dry,None,Cyclist,SE,Neighbourhood 2,Division 1
2021-03-22,18:47,Near Miss,Clear,Dusk,Snow,Minor,Passenger,S,Neighbourhood 19,Division 5
2021-02-17,00:49,Near Miss,Clear,Dark,Snow,Major,Pedestrian,E,Neighbourhood 18,Division 4
